REGION,EMISSION,YEAR,VALUE
RE1,CO2,2019,999999.0
RE1,CO2,2020,999999.0
RE1,CO2,2021,999999.0
RE1,CO2,2022,999999.0
RE1,CO2,2023,999999.0
RE1,CO2,2024,999999.0
RE1,CO2,2025,999999.0
RE1,CO2,2026,999999.0
RE1,CO2,2027,999999.0
RE1,CO2,2028,999999.0
RE1,CO2,2029,999999.0
RE1,CO2,2030,999999.0
RE1,CO2,2031,999999.0
RE1,CO2,2032,999999.0
RE1,CO2,2033,999999.0
RE1,CO2,2034,999999.0
RE1,CO2,2035,999999.0
RE1,CO2,2036,999999.0
RE1,CO2,2037,999999.0
RE1,CO2,2038,999999.0
RE1,CO2,2039,999999.0
RE1,CO2,2040,999999.0
RE1,CO2,2041,999999.0
RE1,CO2,2042,999999.0
RE1,CO2,2043,999999.0
RE1,CO2,2044,999999.0
RE1,CO2,2045,999999.0
RE1,CO2,2046,999999.0
RE1,CO2,2047,999999.0
RE1,CO2,2048,999999.0
RE1,CO2,2049,999999.0
RE1,CO2,2050,999999.0
RE1,CO2agr,2019,999999.0
RE1,CO2agr,2020,999999.0
RE1,CO2agr,2021,999999.0
RE1,CO2agr,2022,999999.0
RE1,CO2agr,2023,999999.0
RE1,CO2agr,2024,999999.0
RE1,CO2agr,2025,999999.0
RE1,CO2agr,2026,999999.0
RE1,CO2agr,2027,999999.0
RE1,CO2agr,2028,999999.0
RE1,CO2agr,2029,999999.0
RE1,CO2agr,2030,999999.0
RE1,CO2agr,2031,999999.0
RE1,CO2agr,2032,999999.0
RE1,CO2agr,2033,999999.0
RE1,CO2agr,2034,999999.0
RE1,CO2agr,2035,999999.0
RE1,CO2agr,2036,999999.0
RE1,CO2agr,2037,999999.0
RE1,CO2agr,2038,999999.0
RE1,CO2agr,2039,999999.0
RE1,CO2agr,2040,999999.0
RE1,CO2agr,2041,999999.0
RE1,CO2agr,2042,999999.0
RE1,CO2agr,2043,999999.0
RE1,CO2agr,2044,999999.0
RE1,CO2agr,2045,999999.0
RE1,CO2agr,2046,999999.0
RE1,CO2agr,2047,999999.0
RE1,CO2agr,2048,999999.0
RE1,CO2agr,2049,999999.0
RE1,CO2agr,2050,999999.0
RE1,CO2com,2019,999999.0
RE1,CO2com,2020,999999.0
RE1,CO2com,2021,999999.0
RE1,CO2com,2022,999999.0
RE1,CO2com,2023,999999.0
RE1,CO2com,2024,999999.0
RE1,CO2com,2025,999999.0
RE1,CO2com,2026,999999.0
RE1,CO2com,2027,999999.0
RE1,CO2com,2028,999999.0
RE1,CO2com,2029,999999.0
RE1,CO2com,2030,999999.0
RE1,CO2com,2031,999999.0
RE1,CO2com,2032,999999.0
RE1,CO2com,2033,999999.0
RE1,CO2com,2034,999999.0
RE1,CO2com,2035,999999.0
RE1,CO2com,2036,999999.0
RE1,CO2com,2037,999999.0
RE1,CO2com,2038,999999.0
RE1,CO2com,2039,999999.0
RE1,CO2com,2040,999999.0
RE1,CO2com,2041,999999.0
RE1,CO2com,2042,999999.0
RE1,CO2com,2043,999999.0
RE1,CO2com,2044,999999.0
RE1,CO2com,2045,999999.0
RE1,CO2com,2046,999999.0
RE1,CO2com,2047,999999.0
RE1,CO2com,2048,999999.0
RE1,CO2com,2049,999999.0
RE1,CO2com,2050,999999.0
RE1,CO2ind,2019,999999.0
RE1,CO2ind,2020,999999.0
RE1,CO2ind,2021,999999.0
RE1,CO2ind,2022,999999.0
RE1,CO2ind,2023,999999.0
RE1,CO2ind,2024,999999.0
RE1,CO2ind,2025,999999.0
RE1,CO2ind,2026,999999.0
RE1,CO2ind,2027,999999.0
RE1,CO2ind,2028,999999.0
RE1,CO2ind,2029,999999.0
RE1,CO2ind,2030,999999.0
RE1,CO2ind,2031,999999.0
RE1,CO2ind,2032,999999.0
RE1,CO2ind,2033,999999.0
RE1,CO2ind,2034,999999.0
RE1,CO2ind,2035,999999.0
RE1,CO2ind,2036,999999.0
RE1,CO2ind,2037,999999.0
RE1,CO2ind,2038,999999.0
RE1,CO2ind,2039,999999.0
RE1,CO2ind,2040,999999.0
RE1,CO2ind,2041,999999.0
RE1,CO2ind,2042,999999.0
RE1,CO2ind,2043,999999.0
RE1,CO2ind,2044,999999.0
RE1,CO2ind,2045,999999.0
RE1,CO2ind,2046,999999.0
RE1,CO2ind,2047,999999.0
RE1,CO2ind,2048,999999.0
RE1,CO2ind,2049,999999.0
RE1,CO2ind,2050,999999.0
RE1,CO2res,2019,999999.0
RE1,CO2res,2020,999999.0
RE1,CO2res,2021,999999.0
RE1,CO2res,2022,999999.0
RE1,CO2res,2023,999999.0
RE1,CO2res,2024,999999.0
RE1,CO2res,2025,999999.0
RE1,CO2res,2026,999999.0
RE1,CO2res,2027,999999.0
RE1,CO2res,2028,999999.0
RE1,CO2res,2029,999999.0
RE1,CO2res,2030,999999.0
RE1,CO2res,2031,999999.0
RE1,CO2res,2032,999999.0
RE1,CO2res,2033,999999.0
RE1,CO2res,2034,999999.0
RE1,CO2res,2035,999999.0
RE1,CO2res,2036,999999.0
RE1,CO2res,2037,999999.0
RE1,CO2res,2038,999999.0
RE1,CO2res,2039,999999.0
RE1,CO2res,2040,999999.0
RE1,CO2res,2041,999999.0
RE1,CO2res,2042,999999.0
RE1,CO2res,2043,999999.0
RE1,CO2res,2044,999999.0
RE1,CO2res,2045,999999.0
RE1,CO2res,2046,999999.0
RE1,CO2res,2047,999999.0
RE1,CO2res,2048,999999.0
RE1,CO2res,2049,999999.0
RE1,CO2res,2050,999999.0
RE1,CO2tra,2019,999999.0
RE1,CO2tra,2020,999999.0
RE1,CO2tra,2021,999999.0
RE1,CO2tra,2022,999999.0
RE1,CO2tra,2023,999999.0
RE1,CO2tra,2024,999999.0
RE1,CO2tra,2025,999999.0
RE1,CO2tra,2026,999999.0
RE1,CO2tra,2027,999999.0
RE1,CO2tra,2028,999999.0
RE1,CO2tra,2029,999999.0
RE1,CO2tra,2030,999999.0
RE1,CO2tra,2031,999999.0
RE1,CO2tra,2032,999999.0
RE1,CO2tra,2033,999999.0
RE1,CO2tra,2034,999999.0
RE1,CO2tra,2035,999999.0
RE1,CO2tra,2036,999999.0
RE1,CO2tra,2037,999999.0
RE1,CO2tra,2038,999999.0
RE1,CO2tra,2039,999999.0
RE1,CO2tra,2040,999999.0
RE1,CO2tra,2041,999999.0
RE1,CO2tra,2042,999999.0
RE1,CO2tra,2043,999999.0
RE1,CO2tra,2044,999999.0
RE1,CO2tra,2045,999999.0
RE1,CO2tra,2046,999999.0
RE1,CO2tra,2047,999999.0
RE1,CO2tra,2048,999999.0
RE1,CO2tra,2049,999999.0
RE1,CO2tra,2050,999999.0
